,genes
1430,NRP1
1431,RPS6KA3
1432,ATP2A3
1433,C1QL2
1434,ST8SIA6
1435,SLA
1436,MDGA2
1437,TPPP3
1438,ANAPC7
1439,TTF2
1440,SLC25A10
1441,TXLNB
1442,GNB5
1443,GABBR2
1444,TANC2
1445,MARK1
1446,CCNF
1447,ASB7
1448,FMN2
1449,NOTCH4
1450,PCDH1
1451,RELL1
1452,ECI1
1453,LACC1
1454,KLHL3
1455,CABYR
1456,RAB32
1457,DHX15
1458,PTX3
1459,PFDN2
1460,EVL
1461,ELL2
1462,SIRT4
1463,ATXN7
1464,FANCF
1465,PLCL2
1466,SYNPO2
1467,CPSF7
1468,UTP20
1469,GRIK4
1470,SLITRK1
1471,LRRC8B
1472,PTPRK
1473,DPY30
1474,TSACC
1475,CASKIN1
1476,PPP2R2A
1477,FEM1A
1478,PRAF2
1479,ABCA8
1480,ZNF608
1481,GSKIP
1482,PATL1
1483,LDLRAD3
1484,JSRP1
1485,ORAI3
1486,SYNPR
1487,C1QTNF4
1488,CCDC78
1489,KCNF1
1490,FGF17
1491,RASA2
1492,LHX1
1493,CNNM4
1494,ZNF436
1495,DLK2
1496,HPCAL4
1497,PHF21A
1498,MAD1L1
1499,RSL1D1
1500,ANKIB1
1501,SESN2
1502,C8orf34
1503,PPM1A
1504,OTOS
1505,CPT1A
1506,ACOT12
1507,AJAP1
1508,ATAD5
1509,CCL28
1510,ITPRIPL1
1511,GRM5
1512,CKAP2L
1513,MEX3A
1514,NTNG1
1515,RORA
1516,DLGAP4
1517,BANK1
1518,MTHFR
1519,EFNA1
1520,SFTPC
1521,EPHB1
1522,LAYN
1523,DMAP1
1524,CHST15
1525,SLC35C1
1526,OLFM1
1527,GRAMD4
1528,EDEM1
1529,SPAG4
1530,CISD2
1531,EHD1
1532,RAB40B
1533,EXOC4
1534,FOXG1
1535,AKAP10
1536,FAM151B
1537,ZNF148
1538,OSBPL9
1539,RNF157
1540,TMED3
1541,IL1RAPL2
1542,GPR26
1543,TMEM42
1544,HECTD3
1545,UBN2
1546,KMO
1547,SLC35G1
1548,OSBPL3
1549,MAP3K12
1550,MORC3
1551,NIPSNAP3A
1552,MFN1
1553,TP53BP2
1554,TMBIM6
1555,SLC27A2
1556,CHPF2
1557,RBAK
1558,CUL7
1559,WDR47
1560,RNF152
1561,PRKCG
1562,MPDZ
1563,PERP
1564,C2CD2L
1565,ZNF217
1566,SPC25
1567,YPEL4
1568,ZNF831
1569,CDK10
1570,EDIL3
1571,VIPR1
1572,RBM26
1573,TMEM229A
1574,CTTN
1575,SYTL4
1576,ACKR3
1577,MARK2
1578,NRG2
1579,ARX
1580,CLDN22
1581,DLX2
1582,CMTM5
1583,TCERG1
1584,CNOT6L
1585,CGN
1586,PRNP
1587,GRK6
1588,ZNF354C
1589,ANKH
1590,SBSN
1591,NKAIN1
1592,NRCAM
1593,PAQR9
1594,LRRC3B
1595,S100A10
1596,ITM2A
1597,ZBTB21
1598,CA3
1599,NT5DC1
1600,FBN1
1601,PTCHD1
1602,GABRB2
1603,ZNF346
1604,ANAPC16
1605,KIF21A
1606,HDAC3
1607,GALM
1608,FZD2
1609,BSG
1610,ZNF180
1611,GRHPR
1612,F2R
1613,ZIC1
1614,WNT2
1615,TNFAIP8L3
1616,ASB2
1617,YPEL1
1618,ADCY3
1619,PECR
1620,BCL2L15
1621,IL11
1622,CDC7
1623,TRABD2B
1624,NUAK2
1625,IFT57
1626,ASPHD2
1627,SSTR2
1628,P2RX6
1629,DNAJA1
1630,TANC1
1631,IGSF5
1632,TXNDC11
1633,SLC2A8
1634,SYNE3
1635,KCNJ14
1636,RASSF5
1637,FAM81A
1638,PFKFB2
1639,IP6K1
1640,DSEL
1641,IL12A
1642,LONRF1
1643,THRB
1644,CPXM2
1645,JMJD4
1646,SUCLG2
1647,DHRS3
1648,ZNF385A
1649,SPATA21
1650,ABHD3
1651,CDK13
1652,FAM118B
1653,PMS2
1654,UROS
1655,KCNC2
1656,XRCC4
1657,MYRIP
1658,ARMC6
1659,FBXO31
1660,UXS1
1661,LSAMP
1662,SLC27A4
1663,HDC
1664,EGFL7
1665,GAB2
1666,GABRQ
1667,AKAP11
1668,KCNAB3
1669,PRR5L
1670,CACNG2
1671,KLF12
1672,CD6
1673,FOXB1
1674,GLCCI1
1675,TIGD2
1676,RAB11FIP2
1677,CDR2L
1678,CTPS1
1679,U2AF2
1680,SMS
1681,S100B
1682,RHOV
1683,TM2D2
1684,DRG1
1685,GPHN
1686,DLG4
1687,SP5
1688,BBS1
