,genes
1522,ADCY5
1523,SP5
1524,PIK3R2
1525,CDH22
1526,TNFRSF12A
1527,FARSB
1528,APBB1
1529,SMARCB1
1530,PUSL1
1531,SMAP2
1532,DNAJC18
1533,EIF1B
1534,PTPN18
1535,ING4
1536,HTR2A
1537,OSBPL8
1538,CNNM4
1539,MNT
1540,FARSA
1541,STK3
1542,TRIM59
1543,NT5DC3
1544,LCORL
1545,NUP98
1546,TOR1A
1547,KCNG1
1548,GFPT1
1549,LMCD1
1550,MUSK
1551,ENPEP
1552,SULT4A1
1553,PARP9
1554,THOC5
1555,EXT1
1556,BRD3
1557,EAF2
1558,SOCS2
1559,EPHA3
1560,RBM18
1561,GGACT
1562,XK
1563,DAB2IP
1564,EVA1B
1565,STON2
1566,SLC14A1
1567,NPDC1
1568,RASAL1
1569,PALM
1570,METTL21A
1571,GALNS
1572,TMEM70
1573,AP1M1
1574,CSTF3
1575,ZFP36L2
1576,MICAL3
1577,ZNF395
1578,GABRG2
1579,FKBP5
1580,HAPLN1
1581,CTCF
1582,GCC2
1583,HS6ST1
1584,CIAPIN1
1585,TTLL12
1586,MAGEE1
1587,NPC2
1588,CNR1
1589,THRB
1590,NOG
1591,RNF166
1592,RBFOX1
1593,ZDHHC3
1594,GLRA3
1595,IQCC
1596,ANO4
1597,DENND3
1598,SAT2
1599,HOOK1
1600,MAPKBP1
1601,MCU
1602,CRLS1
1603,ZSCAN22
1604,WDR13
1605,MLLT11
1606,YTHDC2
1607,IGSF8
1608,TTYH3
1609,CCDC15
1610,LIMS2
1611,ZNF93
1612,TPST2
1613,DOCK5
1614,TMEM209
1615,TPM3
1616,ANXA3
1617,DAPK3
1618,SYNDIG1
1619,ANAPC16
1620,UBE2I
1621,UBXN2B
1622,NAV3
1623,NAP1L2
1624,FAM161A
1625,CENPJ
1626,ACADL
1627,ERLIN1
1628,RPF1
1629,CBWD1
1630,LMF1
1631,TRPM4
1632,GLT8D2
1633,SUGP2
1634,ITPK1
1635,SIPA1L1
1636,ARNT2
1637,ANAPC4
1638,EP300
1639,SUSD2
1640,WWOX
1641,IDNK
1642,ATP6V1G2
1643,UBA2
1644,RAD18
1645,AHNAK2
1646,TLE6
1647,CPSF1
1648,SLC20A1
1649,CAMK2D
1650,WDHD1
1651,ZDHHC12
1652,SYT12
1653,RGS4
1654,FGD4
1655,PSMB9
1656,GNGT2
1657,LFNG
1658,PCDHB14
1659,HELQ
1660,RBP7
1661,GNRH1
1662,TRPS1
1663,PGBD1
1664,RCBTB1
1665,TRIP6
1666,SPP1
1667,PDK2
1668,TSPAN2
1669,UCP2
1670,BAK1
1671,DEDD2
1672,CIART
1673,SLC25A32
1674,MED27
1675,FRK
1676,RRM2
1677,DIRAS2
1678,MYCN
1679,MRPS12
1680,HIP1R
1681,PDE3A
1682,PLA2R1
1683,SP4
1684,HIBADH
1685,PARD6B
1686,WDR18
1687,SLC39A10
1688,NAA16
1689,OVOL2
1690,SLC25A37
