,genes
1097,YPEL3
1098,CIZ1
1099,UQCRC1
1100,SUN1
1101,GADD45G
1102,PTS
1103,RAC2
1104,FNDC3A
1105,SPATA7
1106,SLC16A8
1107,TIGD3
1108,PSTPIP1
1109,NDUFA10
1110,CROCC
1111,COL23A1
1112,NRCAM
1113,STC2
1114,SLC38A2
1115,TRPM7
1116,GNG7
1117,LEFTY1
1118,PLXNA1
1119,CCNA1
1120,NCAN
1121,IGLON5
1122,F2R
1123,LRP2
1124,PLEKHJ1
1125,ENOPH1
1126,TCF7L2
1127,TMEM130
1128,SYNJ1
1129,PDZK1
1130,MR1
1131,CIAPIN1
1132,METTL14
1133,LETMD1
1134,MYCL
1135,ARSI
1136,NIM1K
1137,LDLRAP1
1138,MAPK1
1139,NEU1
1140,CDC42EP2
1141,CORT
1142,RHBDD2
1143,FANCF
1144,TGDS
1145,EFCC1
1146,N4BP3
1147,CNNM4
1148,ZNF436
1149,PLCXD3
1150,REXO2
1151,CLPTM1L
1152,SPHKAP
1153,BTG1
1154,PECR
1155,RASIP1
1156,CPNE7
1157,UBE2F
1158,SPATA24
1159,MYRIP
1160,ENKD1
1161,PGAP3
1162,DHX9
1163,DGKA
1164,ARFGAP2
1165,SAMD4A
1166,WDR35
1167,ILF3
1168,PCDH8
1169,DOK7
1170,VSTM2A
1171,SETD5
1172,PTPN3
1173,ARHGEF25
1174,GPR101
1175,SCFD1
1176,RAP1GDS1
1177,KCNH5
1178,MAN1A1
1179,PTPRH
1180,ITM2C
1181,ZNF174
1182,SHCBP1
1183,MCF2L
1184,SOCS6
1185,GRIK2
1186,CACNA2D3
1187,RBFOX2
1188,NR1D1
1189,NRP2
1190,SLC39A14
1191,LACTB2
1192,BANK1
1193,MGAT5
1194,TBCD
1195,HAPLN4
1196,CXADR
1197,STC1
1198,OPCML
1199,ANXA11
1200,C2CD2L
1201,FAM110A
1202,TK1
1203,CACNG2
1204,NGEF
1205,PDGFC
1206,RCBTB1
1207,ABCD3
1208,PITPNM1
1209,PDE4A
1210,MRPS22
1211,LATS2
1212,SCN1B
1213,INTS7
1214,STIM2
1215,TNNI3
1216,GRPEL2
1217,ZC3H18
1218,HERC3
1219,ELL
1220,ARAP3
1221,DDX54
1222,TMEM183A
1223,RHOV
1224,PATL1
1225,ATP8A1
1226,HS3ST5
1227,FAM114A1
1228,LBH
1229,SNX9
1230,EML4
1231,SPHK2
1232,DHX15
1233,BEST1
1234,CDK16
1235,NTRK1
1236,TECR
1237,CETN3
1238,STAC
1239,OSBPL5
1240,C11orf68
1241,LRCH1
1242,TNFRSF12A
1243,NOL10
1244,LENG1
1245,TMEM121
1246,ARMCX6
1247,LCMT1
1248,MSH3
1249,GFOD2
1250,ALCAM
1251,PCDH11X
1252,GALNT18
1253,CDAN1
1254,C11orf87
1255,MAEL
1256,CAMTA2
1257,LIN28B
1258,HSPA8
1259,MATK
1260,PWWP2A
1261,STX4
1262,TLE2
1263,WDR55
1264,TBC1D10A
1265,KCNK2
1266,SIRT3
1267,IGF2BP2
1268,SH3GL2
1269,MSRA
1270,GM2A
1271,AGAP2
1272,FNDC3B
1273,ADAMTSL1
1274,MTX3
1275,BDH2
1276,CD200
1277,FKBP9
1278,RCN2
1279,DNAH6
1280,NOVA2
1281,B4GALT7
1282,ASTN1
1283,PTPRE
1284,UNC13A
1285,MRPL3
1286,CCDC146
1287,FEZ1
1288,AGFG1
1289,C6orf47
1290,STAC2
1291,DUT
1292,HSD17B7
1293,SRGAP1
1294,MN1
1295,URB2
1296,ENC1
1297,PRKD1
1298,RABGAP1
1299,CEP170B
1300,FABP3
1301,STAMBPL1
1302,CBR1
1303,FBXO3
1304,TXLNB
1305,TACR1
1306,IDH1
1307,PRKCI
1308,NXPH2
1309,MYH15
1310,PSMD5
1311,ZBBX
1312,GLOD5
1313,CCDC120
1314,ABLIM2
1315,SPTBN4
1316,ST8SIA6
1317,COA4
1318,STX7
1319,SERINC4
1320,NKD1
1321,CCKBR
1322,ABCD1
1323,NTHL1
1324,PRCP
1325,SLCO3A1
1326,NPVF
1327,MRPS12
1328,PPP2R5E
1329,CACNA1G
1330,STEAP3
1331,G3BP2
1332,SYPL1
1333,TMEM141
1334,BAG4
1335,IGFBP5
1336,NOB1
1337,GATA2
1338,ARHGAP26
1339,MAPKBP1
1340,FAM13C
1341,STRIP1
1342,IPO13
1343,FAM149A
1344,DROSHA
1345,CNTN6
1346,MAPK8IP2
1347,ZNF385A
1348,CALB1
1349,SIN3B
1350,TSPYL5
1351,KIF6
1352,CASP6
1353,HERC4
1354,PSMC6
1355,TBC1D10C
1356,PIFO
1357,SOCS1
1358,ZFP3
1359,NBEA
1360,WDR92
1361,B3GNTL1
1362,NKAPL
1363,CYTL1
1364,IRF2BP2
1365,ASAP3
1366,RADIL
1367,OBSCN
1368,UBQLN4
1369,GNPNAT1
1370,RAD9A
1371,FSD1
1372,PLEKHH3
1373,PDE9A
1374,NFE2L1
1375,PACRG
1376,MBD2
1377,GINS1
1378,AP3S1
1379,BCL11B
1380,EFHB
1381,WASF1
1382,ABCG1
1383,NUP50
1384,REXO1
1385,RCVRN
1386,LYPD6
1387,SPIDR
1388,ZFR
1389,DRP2
1390,SYT3
1391,INTU
1392,GPX3
1393,TNFAIP6
1394,DNAH2
1395,C1orf74
1396,HTR1F
1397,UBOX5
1398,NRIP2
1399,KLHL35
1400,PKP2
1401,STOM
1402,ZCWPW1
1403,RABL6
1404,PLCH1
1405,WNT3
1406,ATG14
1407,SH3KBP1
1408,FBXO31
1409,EXOC4
1410,AGFG2
1411,PPP4R1
1412,POLE4
1413,TNKS
1414,SYT7
1415,DDHD1
1416,SYN1
1417,PRPS2
1418,MTUS1
1419,PPEF2
1420,TMEM64
1421,FOCAD
1422,CC2D1A
1423,CERS6
1424,URGCP
1425,DNAAF1
1426,KRBA1
1427,ARID3A
1428,BAIAP2
1429,TMEM81
1430,PATL2
1431,NUP93
1432,TRIP13
1433,GPC5
1434,MAP1LC3B
1435,PDE11A
1436,CTNNB1
1437,ANO4
1438,SAMD3
1439,NUDCD2
1440,LRRC73
1441,TAB3
1442,TAF11
1443,AP2A2
1444,COPS5
1445,CDK2AP1
1446,SIX3
1447,AMPD2
1448,MAP1S
1449,AXIN2
1450,FAM163B
1451,NFIC
1452,MACROD1
1453,SLC19A1
1454,RNPEP
1455,DTX3
1456,NT5DC3
1457,MAL
1458,TUBA8
1459,JOSD2
1460,EYA4
1461,ADAM22
1462,ITFG1
1463,DCLK3
1464,SENP7
1465,PTGER4
1466,ST8SIA3
1467,TEX26
1468,ZDHHC5
1469,FBXL6
1470,CCDC173
1471,MEPCE
1472,MYO18B
1473,RORA
1474,LIPH
1475,LNX1
1476,ADCY3
1477,ANKRD45
1478,TBK1
1479,TTLL12
1480,MRPL4
1481,ZNF148
1482,SRL
1483,SYT13
1484,ZIC4
1485,ITPK1
1486,ROMO1
1487,PMM1
1488,CFP
1489,PREP
1490,SP5
1491,COTL1
1492,CAMKMT
1493,NHLRC3
1494,CACNA1B
1495,MEGF11
1496,LAMC1
1497,DHX57
1498,FAM168B
1499,TOR2A
1500,BRPF3
1501,MRPL41
1502,FAM160A1
