,genes
1361,CAMKMT
1362,UGP2
1363,RNF4
1364,DNAJC28
1365,LAMC1
1366,DHX57
1367,FAM168B
1368,UBAC2
1369,BRPF3
1370,TM6SF1
1371,CAPSL
1372,GAK
1373,DOC2B
1374,SCUBE1
1375,INF2
1376,ARHGAP18
1377,SYNE1
1378,LDHD
1379,IPCEF1
1380,NXN
1381,DENND1C
1382,SORCS2
1383,PALMD
1384,TSPO
1385,MYADML2
1386,WIPF2
1387,GSTM5
1388,FAM71E1
1389,SPNS1
1390,SETD7
1391,TRIP6
1392,ARHGEF9
1393,EHMT1
1394,IMMP2L
1395,ITGB2
1396,PITPNA
1397,CDCA7
1398,NDUFAF5
1399,PXDC1
1400,KLHL5
1401,CCDC8
1402,ZNF598
1403,RAD51AP1
1404,SH3BGRL
1405,KLF5
1406,SPATA2
1407,ZEB2
1408,DGKE
1409,NIPAL2
1410,TDRD1
1411,CCDC153
1412,EHD3
1413,ST7
1414,BTG3
1415,FBN1
1416,REEP6
1417,CCDC58
1418,DLC1
1419,NTSR1
1420,RPP25
1421,RP9
1422,URM1
1423,ANKRD55
1424,RAB31
1425,SDHA
1426,DNAH1
1427,WFS1
1428,DMXL2
1429,GAS8
1430,MEIS3
1431,NAT8L
1432,MGAT5B
1433,DGKD
1434,EPN2
1435,STAR
1436,GNL2
1437,AKAP8
1438,ATP7B
1439,SLC27A4
1440,COQ10A
1441,TOMM40
1442,DOK1
1443,E2F6
1444,HIVEP2
1445,ODF2
1446,KCNMA1
1447,PHGDH
1448,SLC44A5
1449,TRPT1
1450,RMND1
1451,HEXB
1452,PIM3
1453,PDE3A
1454,CREB3L1
1455,HDDC3
1456,BRINP2
1457,HMOX2
1458,BAZ2A
1459,MC4R
1460,MRM1
1461,ADCY8
1462,PPA2
1463,PDS5A
1464,EYA1
1465,MCAT
1466,TMEM25
1467,DPP4
1468,ITPKB
1469,CRHR2
1470,PAK1
1471,S100A16
1472,C2CD5
1473,COL16A1
1474,OGDHL
1475,CHD3
1476,MALT1
1477,KIAA1522
1478,UNC5B
1479,SH3D19
1480,UQCC1
1481,GPR22
1482,ALS2CL
1483,VAV2
1484,LMCD1
1485,DPYD
1486,PRMT3
1487,GEMIN8
1488,CASD1
1489,MED14
1490,ZBTB4
1491,DNAJA3
1492,MCM8
1493,MTHFD1L
1494,GPNMB
1495,ZNF526
1496,PTPRC
1497,CYBA
1498,POLRMT
1499,ARHGEF2
1500,OAS1
1501,CHRNA4
1502,TFB2M
1503,ZBTB8OS
1504,PARP14
1505,ZNF324
1506,BIRC3
1507,GRB10
1508,RASL12
1509,GRAMD1B
1510,NGB
1511,RSPO2
1512,ETNK2
1513,PCSK2
1514,NOP2
1515,MCTS1
1516,SYMPK
1517,PARP3
1518,LZTS1
1519,PPM1A
1520,HMMR
1521,ZNF217
1522,AMDHD1
1523,NUS1
1524,HLF
1525,CAMK2G
1526,RANBP6
1527,CHRD
1528,BICD1
1529,HDAC1
1530,ZNF280C
1531,SEC63
1532,DNAJC16
1533,FGD4
1534,GALNT3
1535,VPS45
1536,HYLS1
1537,WDFY4
1538,IER2
1539,CTDSPL
1540,THAP7
1541,CCR10
1542,APLN
1543,PICALM
1544,NDUFAF2
1545,NCKAP1L
1546,GPR39
1547,CNBD2
1548,CLDN1
1549,GATM
1550,CCDC102A
1551,KCNH6
1552,ZFP92
1553,FAM107B
1554,AMIGO2
1555,SOX2
1556,ZNF710
1557,GDPD5
1558,GCC2
1559,KY
1560,SPDEF
1561,EPHA8
1562,KCTD11
1563,CSRP1
1564,CLN3
1565,KCNE2
1566,GHR
1567,IDE
1568,SYTL4
1569,ERI1
1570,ZNF106
1571,GXYLT2
1572,LRRC32
1573,DIS3
1574,DDAH2
1575,TMEM38B
1576,STK35
1577,L3MBTL1
1578,LTC4S
1579,ADAMTS2
1580,ADCY1
1581,DOK6
1582,TNIP2
1583,SMIM13
1584,CA13
1585,ANXA6
1586,UBE3B
1587,PPP1R13L
